Model,Batch_size,Optimizer,Criterion,Best Score
UNetFormer-efficientnet-b0,4,adam,CE,0.2950211778580417
UNetFormer-efficientnet-b0,4,adam,Focal,0.20759813004679337
UNetFormer-efficientnet-b0,4,adam,Jaccard,0.38526939959815504
UNetFormer-efficientnet-b0,4,adam,Dice,0.3729714164324134
UNetFormer-efficientnet-b0,4,adam,MCC,0.3666710699742772
UNetFormer-efficientnet-b0,4,adam,CE+,0.3048377513539322
UNetFormer-efficientnet-b0,4,adam,MCC+,0.3142607095394954
UNetFormer-efficientnet-b0,4,sgd,CE,0.06981063265353486
UNetFormer-efficientnet-b0,4,sgd,Focal,0.05095786679577286
UNetFormer-efficientnet-b0,4,sgd,Jaccard,0.06142519616304242
UNetFormer-efficientnet-b0,4,sgd,Dice,0.059537407992855354
UNetFormer-efficientnet-b0,4,sgd,MCC,0.05443732161380117
UNetFormer-efficientnet-b0,4,sgd,CE+,0.07758717587261627
UNetFormer-efficientnet-b0,4,sgd,MCC+,0.07371895516260504
UNetFormer-resnetv2-101x1-bitm,4,adam,CE,0.3072365525105507
UNetFormer-resnetv2-101x1-bitm,4,adam,Focal,0.20120802283381217
UNetFormer-resnetv2-101x1-bitm,4,adam,Jaccard,0.3875038499384748
UNetFormer-resnetv2-101x1-bitm,4,adam,Dice,0.3797235782708621
UNetFormer-resnetv2-101x1-bitm,4,adam,MCC,0.3631216226527114
UNetFormer-resnetv2-101x1-bitm,4,adam,CE+,0.32511979074223396
UNetFormer-resnetv2-101x1-bitm,4,adam,MCC+,0.30883344420893766
UNetFormer-resnetv2-101x1-bitm,4,sgd,CE,0.06950979180805623
UNetFormer-resnetv2-101x1-bitm,4,sgd,Focal,0.04885562730926682
UNetFormer-resnetv2-101x1-bitm,4,sgd,Jaccard,0.07483777621266277
UNetFormer-resnetv2-101x1-bitm,4,sgd,Dice,0.06148249183331804
UNetFormer-resnetv2-101x1-bitm,4,sgd,MCC,0.05067545255117404
UNetFormer-resnetv2-101x1-bitm,4,sgd,CE+,0.08242296834951866
UNetFormer-resnetv2-101x1-bitm,4,sgd,MCC+,0.08059393437527687
UNetFormer-efficientnet-b0,8,adam,CE,0.32115559021762824
UNetFormer-efficientnet-b0,8,adam,Focal,0.21089784964202793
UNetFormer-efficientnet-b0,8,adam,Jaccard,0.4089384055919631
UNetFormer-efficientnet-b0,8,adam,Dice,0.4180270682192812
UNetFormer-efficientnet-b0,8,adam,MCC,0.39222191303092296
