Model,Batch_size,Optimizer,Criterion,Best Score
UNetFormer-res2net101-26w-4s,4,adam,CE,0.33265460348522563
UNetFormer-res2net101-26w-4s,4,adam,Focal,0.22199444330082457
UNetFormer-res2net101-26w-4s,4,adam,Jaccard,0.4032673395156871
UNetFormer-res2net101-26w-4s,4,adam,Dice,0.40969639059144475
UNetFormer-res2net101-26w-4s,4,adam,MCC,0.4056050507808543
UNetFormer-res2net101-26w-4s,4,adam,CE+,0.358827650653834
UNetFormer-res2net101-26w-4s,4,adam,MCC+,0.36528527551411366
UNetFormer-res2net101-26w-4s,4,sgd,CE,0.0921753134057252
UNetFormer-res2net101-26w-4s,4,sgd,Focal,0.053106712679364045
UNetFormer-res2net101-26w-4s,4,sgd,Jaccard,0.1201583936307699
UNetFormer-res2net101-26w-4s,4,sgd,Dice,0.07868631647660386
UNetFormer-res2net101-26w-4s,4,sgd,MCC,0.0550761675873408
UNetFormer-res2net101-26w-4s,4,sgd,CE+,0.09054966333787184
UNetFormer-res2net101-26w-4s,4,sgd,MCC+,0.09193301283432442
UNetFormer-res2next50,4,adam,CE,0.32395158556962556
UNetFormer-res2next50,4,adam,Focal,0.23329707195450453
UNetFormer-res2next50,4,adam,Jaccard,0.407066437431595
UNetFormer-res2next50,4,adam,Dice,0.41792158747701313
UNetFormer-res2next50,4,adam,MCC,0.40037762885671296
UNetFormer-res2next50,4,adam,CE+,0.35080752250071773
UNetFormer-res2next50,4,adam,MCC+,0.3447110893837686
UNetFormer-res2next50,4,sgd,CE,0.08114924231039299
UNetFormer-res2next50,4,sgd,Focal,0.051249287934930846
UNetFormer-res2next50,4,sgd,Jaccard,0.10838186923002927
UNetFormer-res2next50,4,sgd,Dice,0.07590772482164168
UNetFormer-res2next50,4,sgd,MCC,0.05382733342715593
UNetFormer-res2next50,4,sgd,CE+,0.08535158832399867
UNetFormer-res2next50,4,sgd,MCC+,0.08884309709205557
UNetFormer-seresnet152d,4,adam,CE,0.36209516637620726
UNetFormer-seresnet152d,4,adam,Focal,0.2704843860493411
UNetFormer-seresnet152d,4,adam,Jaccard,0.4306644969618215
UNetFormer-seresnet152d,4,adam,Dice,0.43415162142450364
UNetFormer-seresnet152d,4,adam,MCC,0.4346980770837447
UNetFormer-seresnet152d,4,adam,CE+,0.3857782857962381
UNetFormer-seresnet152d,4,adam,MCC+,0.38487642125058485
UNetFormer-seresnet152d,4,sgd,CE,0.09517065610247029
UNetFormer-seresnet152d,4,sgd,Focal,0.053314001376130626
UNetFormer-seresnet152d,4,sgd,Jaccard,0.09866469653648263
UNetFormer-seresnet152d,4,sgd,Dice,0.07809631724008867
UNetFormer-seresnet152d,4,sgd,MCC,0.054792980787788166
UNetFormer-seresnet152d,4,sgd,CE+,0.10756493406620704
UNetFormer-seresnet152d,4,sgd,MCC+,0.10608785278611423
UNetFormer-swsl-resnet18,4,adam,CE,0.2927976987904623
UNetFormer-swsl-resnet18,4,adam,Focal,0.21825847249532168
UNetFormer-swsl-resnet18,4,adam,Jaccard,0.3877884590222571
UNetFormer-swsl-resnet18,4,adam,Dice,0.3828780900192067
UNetFormer-swsl-resnet18,4,adam,MCC,0.37396330968015373
UNetFormer-swsl-resnet18,4,adam,CE+,0.3221728943984966
UNetFormer-swsl-resnet18,4,adam,MCC+,0.31944577973333615
UNetFormer-swsl-resnet18,4,sgd,CE,0.1016120909590082
