Model,Batch_size,Optimizer,Criterion,Best Score
FTUnetFormer_SwinTransformer,4,adam,CE,0.17699586410958684
FTUnetFormer_SwinTransformer,4,adam,Focal,0.11963185049108935
FTUnetFormer_SwinTransformer,4,adam,Jaccard,0.26050058080628935
FTUnetFormer_SwinTransformer,4,adam,Dice,0.24916816546312692
FTUnetFormer_SwinTransformer,4,adam,MCC,0.19451741296670377
FTUnetFormer_SwinTransformer,4,adam,CE+,0.18305905666254468
FTUnetFormer_SwinTransformer,4,adam,MCC+,0.18440762963186175
FTUnetFormer_SwinTransformer,4,sgd,CE,0.07991845319114907
FTUnetFormer_SwinTransformer,4,sgd,Focal,0.052800094231844945
FTUnetFormer_SwinTransformer,4,sgd,Jaccard,0.08789103673527295
FTUnetFormer_SwinTransformer,4,sgd,Dice,0.06954636623758931
FTUnetFormer_SwinTransformer,4,sgd,MCC,0.06046179229487205
FTUnetFormer_SwinTransformer,4,sgd,CE+,0.08289615792954998
FTUnetFormer_SwinTransformer,4,sgd,MCC+,0.08037835497041297
FTUnetFormer_SwinTransformer,4,adam,CE,0.19017072716078404
FTUnetFormer_SwinTransformer,4,adam,Focal,0.13158163750634802
FTUnetFormer_SwinTransformer,4,adam,Jaccard,0.27053779565908564
FTUnetFormer_SwinTransformer,4,adam,Dice,0.2666644948728203
FTUnetFormer_SwinTransformer,4,adam,MCC,0.22863643826851113
FTUnetFormer_SwinTransformer,4,adam,CE+,0.20722353864367163
FTUnetFormer_SwinTransformer,4,adam,MCC+,0.1992198646958496
FTUnetFormer_SwinTransformer,4,sgd,CE,0.10201913963542113
FTUnetFormer_SwinTransformer,4,sgd,Focal,0.05548962780919411
FTUnetFormer_SwinTransformer,4,sgd,Jaccard,0.11655881467117366
FTUnetFormer_SwinTransformer,4,sgd,Dice,0.1119684816642275
FTUnetFormer_SwinTransformer,4,sgd,MCC,0.06842896292058119
FTUnetFormer_SwinTransformer,4,sgd,CE+,0.09887131996869856
FTUnetFormer_SwinTransformer,4,sgd,MCC+,0.10449090794274732
FTUnetFormer_SwinTransformer,8,adam,CE,0.1849064033437184
FTUnetFormer_SwinTransformer,8,adam,Focal,0.11641847180928858
FTUnetFormer_SwinTransformer,8,adam,Jaccard,0.26444542095853535
FTUnetFormer_SwinTransformer,8,adam,Dice,0.25754785119798446
FTUnetFormer_SwinTransformer,8,adam,MCC,0.19717009907650238
FTUnetFormer_SwinTransformer,8,adam,CE+,0.18744146627517355
FTUnetFormer_SwinTransformer,8,adam,MCC+,0.2022961114092343
FTUnetFormer_SwinTransformer,8,sgd,CE,0.07032308225209533
FTUnetFormer_SwinTransformer,8,sgd,Focal,0.05528673237688329
FTUnetFormer_SwinTransformer,8,sgd,Jaccard,0.07502252091488222
